Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Стець,Охрім,Павлович,Чоловіча,1990-06-12,Педагог,хутір Бобринець,"сквер Молокова, буд. 4, Кролевець, 44678",+380 75 440-28-30,zorianhaida@example.org
Макаренко,Богданна,Іванівна,Жіноча,1941-03-07,Бібліограф,селище Дергачі,"площа Гвоздичний, буд. 7, Покров, 48463",+380 (35) 217-73-22,miroshnychenkoklavdiia@example.com
Приходько,Ольга,Петрівна,Жіноча,1944-01-29,Біолог,село Буринь,"проспект Кипарисний 1-й, буд. 06 кв. 5, Підгайці, 99450",+380 68 520 00 77,dankivherman@example.net
Палій,Анастасія,Олександрівна,Жіноча,1973-08-05,Географ,місто Привілля,"шосе 14-та ст. Великого Фонтану пляж, буд. 63 кв. 622, Ровеньки, 13085",098 411 15 28,rizhak@example.net
Вишняк,Станіслав,Вікторович,Чоловіча,1995-02-09,Бібліограф,село Старокостянтинів,"сквер Кощового отамана, буд. 81, Хирів, 11838",094 388 80 97,tesliaada@example.com
Ященко,Лариса,Романівна,Жіноча,1956-06-15,Професор,місто Херсон,"набережна Надіїі, буд. 0, Південне , 11632",049 690 83 27,kyrylo38@example.net
Карпенко,Онисим,Дмитрович,Чоловіча,1983-11-11,Петрограф,село Покровськ,"шосе Проценка, буд. 08, Першотравенськ, 39562",504-65-15,panasbebeshko@example.net
Засенко,Амалія,Павлівна,Жіноча,1938-12-21,Будник,село Молодогвардійськ,"сквер Жоліо-Кюрі, буд. 95, Ямпіль, 46987",+380 83 199-46-00,teodorfesenko@example.net
Акименко,Семен,Андрійович,Чоловіча,1994-02-07,Маркетолог,селище Вільногірськ,"проспект Скляний 1-й, буд. 5 кв. 2, Красилів, 42104",433-89-14,hlukash@example.org
Демʼянчук,Назар,Ярославович,Чоловіча,1946-11-29,Гінеколог,місто Дрогобич,"парк Крижанівський, буд. 58, Виноградів, 18816",008 105-84-36,wshtokalo@example.net
Саєнко,Ярина,Дмитрівна,Жіноча,1987-10-01,Економіст,місто Львів,"проспект Моторний 3-й, буд. 7, Лутугине, 79421",+380 (36) 134-12-71,mykhailovasylechko@example.com
Сацюк,Ірина,Юріївна,Жіноча,1998-02-21,Мистецтвознавець,хутір Коростишів,"парк Амурський 4-й, буд. 52 кв. 221, Христинівка, 20716",+380 (22) 155-82-44,revaiosyp@example.com
Макаренко,Венедикт,Ярославович,Чоловіча,1965-02-25,Пілот,хутір Верхівцеве,"сквер Катерининська, буд. 4 кв. 809, Кам'янка-Дніпровська, 30413",+380 13 808-57-84,solomiiatsiutsiura@example.com
Лесик,Андрій,Іванович,Чоловіча,1981-07-14,Водій,хутір Дергачі,"узвіз Літня, буд. 9 кв. 6, Новоукраїнка, 45574",+380 08 819-03-90,oarkhypenko@example.net
Швачка,Пріска,Юріївна,Жіноча,1959-12-17,Хореограф,село Ананьїв,"провулок Далекосхідна, буд. 95, Миргород, 43022",+380 26 158 44 29,emiliia16@example.net
Бабиченко,Віолетта,Леонідівна,Жіноча,1941-01-30,Ветеринар,хутір Вугледар,"сквер Травневий 1-й, буд. 49 кв. 6, Старокостянтинів, 14858",+380 66 190 61 98,ielyseichervonenko@example.net
Полтавець,Гліб,Віталійович,Чоловіча,2008-10-05,Скульптор,місто Новомиргород,"сквер Леонтовича, буд. 591 кв. 07, Березівка, 82043",054 314 02 99,hodunokfeofan@example.com
Юрчишин,Соломія,Ярославівна,Жіноча,1990-03-16,Кушнір,селище Ананьїв,"проспект Шебелінський, буд. 35 кв. 51, Городенка, 42619",+380 86 231-40-58,rvlasenko@example.org
Шухевич,Ігор,Миколайович,Чоловіча,1950-09-26,Агроном,селище Макіївка,"проспект Новікова 2-га, буд. 253, Ковель, 08641",096 03 27,dparasiuk@example.com
Демʼянчук,Гордій,Іванович,Чоловіча,2005-04-17,Ветеринар,село Старий Самбір,"набережна Місячна, буд. 731 кв. 471, Вашківці, 03977",+380 (22) 902-37-81,hordiitychyna@example.org
Журба,Святослава,Романівна,Жіноча,1942-01-24,Ґрунтознавець,хутір Довжанськ,"парк Кутузова, буд. 712, Дунаївці, 14377",086 340-72-10,ostapvashchenko@example.com
Ґоляш,Юхим,Григорович,Чоловіча,1994-03-18,Геолог,місто Кілія,"проспект Іванівський переїзд, буд. 33 кв. 96, Алмазна, 13131",119 57 31,whuk@example.net
Чала,Сергій,Віталійович,Чоловіча,1948-06-28,Фермер,хутір Берегове,"шосе Тарутинська, буд. 7, Липовець, 54798",+380 60 298 06 52,flytvynenko@example.net
Величко,Єлисавета,Григорівна,Жіноча,1983-01-29,Науковець,місто Жмеринка,"вулиця Москвіна, буд. 357, Рені, 69646",263 06 98,diefymenko@example.org
Титаренко,Леопольд,Леонідович,Чоловіча,1998-12-06,Ді-джей,селище Українка ,"парк Пляжна, буд. 531, Яремче, 63784",022 31 13,nriabets@example.net
Андрієвич,Вадим,Андрійович,Чоловіча,1970-02-03,Круп'є,село Миколаївка ,"провулок Строганов міст, буд. 1, Красноград, 34783",+380 03 394-58-07,vasylashkomaryna@example.org
Скопенко,Зорян,Леонідович,Чоловіча,1949-07-08,Перекладач,місто Ланівці,"проспект Балтський 1-й, буд. 8, Олешки, 36711",038 558 03 40,bokhrymovych@example.net
Колодуб,Оксана,Олександрівна,Жіноча,1944-07-05,Випробувач,селище Хирів,"площа Селекційний, буд. 32 кв. 880, Червоноград, 01771",+380 53 906 84 77,martyn02@example.org
Хомик,Світлана,Іванівна,Жіноча,1989-06-24,Електромонтажник,хутір Генічеськ,"проспект Перша, буд. 16 кв. 4, Ямпіль, 29370",+380 37 512 59 61,orkhypovsiienko@example.net
Жарко,Лариса,Юріївна,Жіноча,1997-12-29,Ботанік,місто Новгород-Сіверський,"узвіз Яші Гордієнка, буд. 23, Новоазовськ, 18198",006 183-61-84,udakhno@example.com
Башполченко,Ярослав,Олександрович,Чоловіча,1973-10-23,Літературознавець,село Сорокине,"вулиця Дубовий гай, буд. 5 кв. 255, Сулимівка (Слов'янськ), 02352",906-47-75,yiefymenko@example.org
Якименко,Аарон,Олександрович,Чоловіча,2003-08-27,Локсмайстер,місто Дубровиця,"вулиця Іванова Ігоря, буд. 9, Ірпінь, 63796",+380 40 189-15-62,syrotenkodavyd@example.org
Зінкевич,Гліб,Леонідович,Чоловіча,2006-01-28,Інженер,селище Чоп,"провулок Качалова, буд. 94 кв. 013, Березне, 08484",036 689 22 63,stefanilchenko@example.net
Давиденко,Дарина,Василівна,Жіноча,1989-09-05,Педагог,місто Миронівка,"парк Горизонтальна, буд. 30, Ясинувата, 24092",+380 41 404-79-81,stanislav18@example.net
Євтушенко,Святослава,Миколаївна,Жіноча,1979-04-07,Агроном,селище Зугрес,"проспект Сільськогосподарський, буд. 672 кв. 494, Інкерман, 61373",949 21 48,whrechko@example.org
Колісниченко,Софія,Юріївна,Жіноча,1998-04-14,Етнограф,селище Житомир,"проспект Восьмого березня, буд. 52 кв. 009, Зеленодольськ, 65091",+380 14 491 26 95,orkhypokhrymovych@example.org
Андріїшина,Яків,Іванович,Чоловіча,1975-08-31,Паблік рилейшнз,село Винники,"провулок Нафтовиків 1-й, буд. 58 кв. 460, Ковель, 60340",016 531 01 36,xirvanets@example.net
Мірошниченко,Валентина,Володимирівна,Жіноча,1988-04-01,Кінорежисер,хутір Моспине,"набережна Вершинна, буд. 791 кв. 90, Берислав, 14941",833-69-29,oleksabevzenko@example.com
Таран,Пантелеймон,Леонідович,Чоловіча,1990-05-02,Ґрунтознавець,місто Родинське,"проспект Академіка Філатова, буд. 35, Калинівка , 73425",069 072 41 64,ielyseiiurchuk@example.com
Вергун,Наталія,Василівна,Жіноча,1996-11-10,Краєзнавець,хутір Лебедин,"провулок Олександра Невського, буд. 2 кв. 939, Ізюм, 79446",+380 06 172 26 73,perepelytsiapanteleimon@example.org
Прокопович,Аарон,Сергійович,Чоловіча,1956-09-12,Актор,село Заставна,"сквер Проценка, буд. 490, Ізмаїл, 70422",044 635 26 45,hrechkomykhailyna@example.org
Пушкар,Захар,Васильович,Чоловіча,2000-05-31,Золотар,село Кальміуське,"сквер Івахненка Петра, буд. 9, Лутугине, 76369",+380 18 473 20 99,oksana05@example.org
Носаченко,Аркадій,Романович,Чоловіча,1948-02-12,Програміст,хутір Старий Крим,"сквер Святослава Ріхтера, буд. 72 кв. 4, Новоселиця, 46272",067 607-37-63,varfolomiiivanenko@example.com
Андрійчук,Дарина,Вікторівна,Жіноча,1972-08-28,Складальник,місто Попасна,"шосе Красносільська, буд. 1, Івано-Франківськ, 34897",+380 45 635 55 54,olenashynkarenko@example.org
Гайворонський,Руслан,Григорович,Чоловіча,1987-02-21,Гірничий інженер,місто Красногорівка,"вулиця Ланжеронівська, буд. 016, Сніжне, 78666",+380 (27) 535-66-72,haidaburapanas@example.com
Андрейко,Маруся,Миколаївна,Жіноча,2007-08-29,Слідчий,селище Умань,"шосе Мала, буд. 7, Яворів, 59887",+380 58 963 66 13,lupiiboryslav@example.com
Вернигора,Болеслав,Васильович,Чоловіча,1946-04-12,Астроном,селище Лозова ,"парк Аптекарський, буд. 015 кв. 604, Самбір, 81917",+380 (45) 738-06-77,spasiatsenko@example.net
Артюх,Азар,Євгенович,Чоловіча,1983-06-24,Модельєр,село Тальне,"вулиця Восьмого Березня Лінія 1-ша, буд. 09, Ланівці, 31366",+380 23 206 98 38,irenazhadan@example.com
Килимник,Кирило,Григорович,Чоловіча,1986-02-14,Підприємець,село Барвінкове,"парк Марії Демченко, буд. 26, Скадовськ, 10513",016 812-26-25,btereshchuk@example.org
Мазур,Златослава,Романівна,Жіноча,1953-11-21,Зоолог,місто Новояворівськ,"сквер Десятого квітня, буд. 2 кв. 71, Болехів, 88665",020 537-91-87,mykhailynadzhun@example.org
Рудик,Степан,Володимирович,Чоловіча,2008-07-01,Біолог,хутір Борщів,"шосе Маланова, буд. 950, Макіївка, 65468",+380 66 112-68-34,iaremkivnestor@example.net
Шовкопляс,Лілія,Григорівна,Жіноча,1965-03-27,Математик,хутір Белз,"набережна Заводська 2-га, буд. 155 кв. 94, Люботин, 65973",017 288 75 42,venedyktbashpolchenko@example.org
Павличенко,Віктор,Андрійович,Чоловіча,1939-07-18,Диригент,селище Ізяслав,"площа Героїв Небесної Сотні, буд. 005, Хмільник, 96889",+380 14 569 58 33,lukashserhii@example.com
Ґерус,Світлана,Олександрівна,Жіноча,1992-05-13,Складальник,місто Кагарлик,"вулиця 13-та Суворовська, буд. 0 кв. 9, Шахтарськ, 34891",+380 19 339-18-76,parmen84@example.com
Скопенко,Леонтій,Васильович,Чоловіча,1971-12-28,Композитор,місто Кодима,"провулок Лазурний 6-й, буд. 595 кв. 000, Золотоноша, 37940",+380 (82) 611-51-58,vitalii62@example.com
Вергун,Юхим,Федорович,Чоловіча,1994-03-24,Музичний редактор,село Нововолинськ,"набережна Жаботинського, буд. 2, Богодухів, 21967",+380 95 629-70-86,dsamoilenko@example.org
Фаренюк,Любов,Сергіївна,Жіноча,1939-05-26,Золотар,місто Тальне,"проспект Дунаєвського, буд. 5, П'ятихатки, 84548",+380 87 673-19-45,habelkohanna@example.org
Гаврюшенко,Павло,Богданович,Чоловіча,1953-12-19,Електротехнік,селище Хмельницький,"вулиця Сирітський 2-й, буд. 301 кв. 711, Щолкіне, 09195",+380 65 585 39 69,hrechanykveniiamyn@example.com
Таран,Алевтин,Богданович,Чоловіча,1986-02-12,Інженер,село Зугрес,"шосе Павлова, буд. 375 кв. 5, Алмазна, 25741",053 569-50-31,mykolai62@example.com
Шведченко,Валерій,Володимирович,Чоловіча,1995-09-22,Геолог,село Олександрівськ,"парк Слов'янська, буд. 6 кв. 24, Березівка, 53642",+380 35 436-92-20,varvarashamrai@example.com
Бгиденко,Єфрем,Олександрович,Чоловіча,1941-11-13,Мікробіолог,село Болград,"набережна Чорноморський 11-й, буд. 9, Дубно, 15102",+380 52 123-34-17,qfranko@example.org
Адаменко,Остап,Петрович,Чоловіча,1995-01-02,Гицель,місто Новоселиця,"площа 2-га Лінія Марії Демченко, буд. 196 кв. 3, Сарни, 08870",+380 67 499-21-98,zdarahan@example.net
Корсун,Андрій,Федорович,Чоловіча,1999-07-25,Детектив,хутір Кролевець,"провулок Скидановський узвіз, буд. 7, Світлодарськ, 65077",+380 (55) 243-90-99,iakymenkoiaryna@example.net
Чуйко,Костянтин,Сергійович,Чоловіча,1964-11-02,Дантист,селище Алушта,"проспект Біляївська, буд. 254, Почаїв, 59674",+380 99 098-67-88,taras13@example.net
Вобла,Вадим,Петрович,Чоловіча,1991-01-22,Єгер,хутір Мар'їнка,"провулок Тепличний 2-й, буд. 4, Київ, 58631",005 267-13-57,vchaban@example.net
Харченко,Антон,Леонідович,Чоловіча,2006-06-09,Євнух,село Красилів,"сквер Юннатів, буд. 8, Покров, 01229",+380 26 424-57-67,veniiamyn60@example.com
Дробаха,Аврелій,Олександрович,Чоловіча,1970-07-08,Режисер,село Ясинувата,"провулок Деревообробна, буд. 9, Гуляйполе, 58926",+380 25 232-86-20,cbashpolchenko@example.net
Арсенич,Едита,Василівна,Жіноча,1979-06-12,Менеджер,селище Кривий Ріг,"вулиця Об'їзна дорога, буд. 3, Коростень, 39868",001 317-90-31,kamilla38@example.net
Токар,Оксана,Василівна,Жіноча,1953-09-16,Головний меркшейдер,село Золотоноша,"шосе Олександра Матросова, буд. 17 кв. 517, Ланівці, 38611",+380 (76) 871-40-88,wredko@example.net
Примаченко,Юстим,Андрійович,Чоловіча,1986-05-07,Драматург,хутір Пирятин,"узвіз Крилова, буд. 1, Немирів, 02945",+380 89 780-24-36,hresandrii@example.org
Корпанюк,Тетяна,Андріївна,Жіноча,1974-12-17,Мистецтвознавець,селище Дружківка,"узвіз Рівності 2-й, буд. 8, Одеса, 85354",191-60-71,baranyknestor@example.com
Бабко,Марко,Петрович,Чоловіча,1952-04-15,Етнограф,хутір Кременець,"провулок Листяний, буд. 2 кв. 512, Кам'янське, 53720",+380 29 804-65-00,kromanets@example.org
Чайка,Святослава,Андріївна,Жіноча,2000-02-23,Педагог,селище Берестечко,"набережна Косяченка Олексія, буд. 13 кв. 073, Таврійськ, 31045",+380 77 284-32-47,dan56@example.net
Василашко,Станіслав,Леонідович,Чоловіча,1982-12-09,Ді-джей,селище Сорокине,"проспект Канатна, буд. 7, П'ятихатки, 93568",134-54-14,prykhodkoanton@example.com
Безбородько,Любов,Петрівна,Жіноча,1945-04-06,Кінолог,місто Дрогобич,"набережна Балтський 7-й, буд. 47, Шпола, 28582",+380 37 970-68-97,oleksamykhailychenko@example.org
Самойленко,Валентин,Леонідович,Чоловіча,1944-01-31,Хореограф,місто Радехів,"провулок Лінія 33-тя, буд. 60 кв. 662, Червоносів, 61186",+380 (55) 192-29-00,nteslenko@example.net
Джус,Марина,Андріївна,Жіноча,1969-02-01,Перекладач,хутір Олександрія,"сквер Політкаторжан, буд. 353, Кам'янка (Черкаська область), 14130",+380 37 409 85 77,bohdannalesyk@example.com
Гузій,Олесь,Петрович,Чоловіча,1978-06-04,Хореограф,селище Соледар,"вулиця Кавказький, буд. 767 кв. 1, Луганськ, 95681",058 532-21-61,viktor61@example.org
Тимчук,Климент,Юрійович,Чоловіча,1990-02-20,Редактор,село Черкаси,"парк Восьмого березня 5-й, буд. 105 кв. 2, Зимогір'я, 93884",+380 95 034-86-14,semenvdovychenko@example.org
Михалюк,Ярина,Петрівна,Жіноча,1964-03-26,Соціолог,місто Чорнобиль,"сквер Тещин міст, буд. 847, Чистякове, 87768",036 780 27 64,dfranchuk@example.com
Швайка,Альберт,Федорович,Чоловіча,1976-03-16,Реставратор,місто Богуслав,"сквер Студентський 1-й, буд. 51 кв. 7, Гайворон, 74667",023 133-05-37,ekorolenko@example.com
Ковалюк,Панас,Володимирович,Чоловіча,1943-05-16,Ботанік,селище Привілля,"шосе Діхтієвського Віктора, буд. 8, Васильків, 32126",626-93-96,iaryna84@example.com
Пилипенко,Онисим,Романович,Чоловіча,1962-10-20,Скульптор,місто Скадовськ,"шосе Адміральський, буд. 834, Амвросіївка, 96989",632-18-50,mariiabashpolchenko@example.net
Черінько,Веніямин,Андрійович,Чоловіча,1979-01-23,Агроном,селище Буськ,"провулок Академіка Сахарова, буд. 17 кв. 985, Олександрія, 12053",+380 71 681-00-56,bazylevskyimilena@example.org
Михайлюк,Георгій,Олександрович,Чоловіча,1948-11-14,Бізнесмен,селище Южноукраїнськ,"вулиця Розкидайлівська, буд. 1 кв. 0, Хорол , 90470",033 241-64-79,oksanakashchenko@example.com
Комар,Алла,Ярославівна,Жіноча,1972-12-18,Програміст,селище Суми,"парк Сабанський, буд. 77, Славутич, 78908",+380 28 974-41-44,levkokonoplenko@example.org
Худобʼяк,Іван,Вікторович,Чоловіча,1956-09-28,Петрограф,місто Керч,"парк Китобійний 1-й, буд. 08 кв. 4, Южне, 31985",+380 (34) 693-58-96,larysa68@example.net
Бараник,Варфоломій,Богданович,Чоловіча,1955-01-02,Випробувач,місто Гребінка,"сквер Осипова, буд. 274 кв. 69, Іллінці, 02209",+380 35 783-67-93,vasylynahaidenko@example.com
Копитко,Софія,Ярославівна,Жіноча,1987-07-26,Реабілітолог,село Хрустальний,"узвіз Політкаторжан, буд. 40 кв. 60, Конотоп, 18461",+380 82 341-48-04,anastasiia19@example.org
Короленко,Тарас,Вікторович,Чоловіча,1960-10-18,Дизайнер,хутір Нова Каховка,"узвіз Лінія 39-та, буд. 852, Ржищів, 58307",+380 57 847-35-21,nmykhailiuk@example.org
Колесниченко,Петро,Володимирович,Чоловіча,1980-12-15,Фрілансер,хутір Прилуки,"площа Висоцького, буд. 86 кв. 44, Молочанськ, 82153",+380 42 018 10 75,dannabevz@example.com
Верхола,Орина,Володимирівна,Жіноча,1970-12-27,Астронавт,селище Торецьк,"провулок Колонічна, буд. 366 кв. 567, Рожище, 73320",+380 (28) 371-10-52,verhunruslan@example.org
Гуцуляк,Зорян,Миколайович,Чоловіча,1956-06-08,Паблік рилейшнз,село Ковель,"площа Південно-Санаторний, буд. 42 кв. 5, Носівка, 16809",970-80-83,iaroslavalekseienko@example.org
Бездітко,Тимофій,Романович,Чоловіча,1994-07-20,Астроном,селище Тернівка ,"набережна Гаванна, буд. 52, Ладижин, 40293",+380 (75) 667-03-38,mykyta87@example.org
Таран,Пилип,Євгенович,Чоловіча,1968-05-28,Музикознавець,місто Вишневе ,"шосе Академічна, буд. 7, Корсунь-Шевченківський, 91037",073 553-46-83,wvlokh@example.org
Данчук,Опанас,Романович,Чоловіча,2000-01-07,Візажист,село Очаків,"набережна Південна, буд. 91, Соледар, 78538",+380 05 535-75-21,zcherinko@example.org
Юхименко,Любов,Вікторівна,Жіноча,1991-05-13,Композитор,село Балта,"вулиця Олександра Вронського, буд. 982, Ніжин, 42533",+380 38 217 14 58,hryhorii55@example.org
Скиба,Омелян,Андрійович,Чоловіча,1944-05-04,Драматург,селище Носівка,"проспект Обільний 2-й, буд. 3, Гайсин, 09179",477 35 05,dtalan@example.net
Олійник,Кирило,Романович,Чоловіча,1958-02-04,Перекладач,селище Сорокине,"площа Рівності, буд. 977 кв. 4, Ковель, 74843",+380 (08) 906-88-25,kvasylenko@example.org
Ляшко,Юстим,Андрійович,Чоловіча,1958-09-13,Менеджер,хутір Інкерман,"вулиця Зої Космодем’янської, буд. 780, Узин, 83431",071 916 85 39,hlibveres@example.net
Деркач,Франц,Григорович,Чоловіча,1992-05-13,Головний меркшейдер,село Світловодськ,"сквер Дальницька, буд. 6, Гуляйполе, 64565",068 007-04-15,tkabanenko@example.net
Деркач,Аркадій,Вікторович,Чоловіча,1971-01-28,Філолог,місто Хмільник,"парк Інтернаціональний, буд. 080 кв. 41, Федорівка, 95371",070 250 45 50,sviatoslav13@example.com
Рудько,Соломон,Федорович,Чоловіча,1954-02-02,Державний службовець,місто Слов'янськ,"узвіз Артилерійська, буд. 44, Тараща, 54204",+380 47 079 81 84,halyna85@example.com
Карась,Давид,Юрійович,Чоловіча,1946-07-13,Скульптор,хутір Апостолове,"проспект Моторний 3-й, буд. 67 кв. 60, Зміїв, 37358",+380 66 355-37-42,zinkevychhryhorii@example.org
Власюк,Пріска,Андріївна,Жіноча,1988-04-24,Хімік,хутір Кременчук,"узвіз Садова 4-та, буд. 6, Приморськ (Україна), 14828",+380 65 983-10-41,slavrenko@example.org
Артимишин,Феофан,Дмитрович,Чоловіча,1997-07-09,Нотаріус,селище Боково-Хрустальне,"набережна Першотравневий 2-й, буд. 13 кв. 137, Гайворон, 17457",+380 59 018 95 18,omeliansyrotenko@example.net
Макаренко,Аркадій,Федорович,Чоловіча,1948-02-14,Няня,місто Корюківка,"площа Траса Здоров'я, буд. 262 кв. 887, Пирятин, 76872",+380 49 438 20 10,qpustovit@example.org
Хомик,Пріска,Юріївна,Жіноча,2002-11-12,Детектив,хутір Гребінка,"сквер Сьома, буд. 9, Сімферополь, 02643",711 66 33,serhiizaiets@example.org
Ґерус,Оксана,Олександрівна,Жіноча,1940-10-18,Складальник,місто Вашківці,"сквер Івана Франка, буд. 10 кв. 088, Дунаївці, 67806",057 664 56 04,qdavydenko@example.org
Таран,Маруся,Василівна,Жіноча,1949-07-07,Клавішник,селище Ялта,"парк Немировича-Данченка, буд. 74, Чорнобиль, 92675",+380 24 113-36-73,onysym57@example.org
Арсенич,Станіслав,Романович,Чоловіча,1982-02-01,Кур'єр,село Галич,"провулок Одеська, буд. 22 кв. 7, Заводське, 50508",+380 (48) 774-84-37,iurchyshynboleslav@example.com
Акуленко,Володимира,Іванівна,Жіноча,1969-11-04,Графік,село Зборів,"сквер Садовського, буд. 90, Самбір, 23528",+380 53 204-28-13,roksolana56@example.com
Михайлюк,Адам,Григорович,Чоловіча,2008-09-13,Художник,селище Гадяч,"вулиця Віцеадмірала Азарова, буд. 83 кв. 25, Кагарлик, 21813",+380 68 776-60-49,mariia02@example.com
Журба,Аврелій,Євгенович,Чоловіча,1968-05-02,Геолог,хутір Волноваха,"сквер Черкаська, буд. 35 кв. 359, Верхньодніпровськ, 94727",025 153 95 62,risaienko@example.com
Андрейко,Богуслав,Євгенович,Чоловіча,1964-09-05,Каскадер,місто Нове Давидково,"сквер Авдєєва-Чорноморського, буд. 285, Вінниця, 46863",+380 (63) 923-05-53,lshamrai@example.net
Рудько,Орися,Василівна,Жіноча,1947-06-07,Електромонтажник,хутір Лисичанськ,"шосе 12-та Лінія 6-й ст. Люстдорфської дороги, буд. 56, Щастя , 04943",+380 45 215 00 49,umoskal@example.com
Теличенко,Лариса,Миколаївна,Жіноча,1946-02-01,Електромонтажник,місто Южне,"проспект Академіка Гаркавого, буд. 50 кв. 5, Соснівка , 14128",+380 24 291 64 82,vasylynakhrystych@example.com
Корсун,Соломія,Юріївна,Жіноча,2001-05-27,Няня,селище Яворів,"проспект Восьмого березня 7-й, буд. 3 кв. 6, Болград, 78114",081 433 43 96,marko12@example.net
Архипенко,Вікторія,Юріївна,Жіноча,2007-05-10,Музичний редактор,хутір Нове Давидково,"сквер Весела, буд. 12, Перемишляни, 72898",+380 67 506-55-12,qiaremko@example.org
Бебешко,Вадим,Андрійович,Чоловіча,1959-12-31,Євнух,місто Кропивницький,"парк Дем’янова, буд. 359 кв. 3, Євпаторія, 36201",399-35-15,chmilmykolai@example.net
Сиротенко,Адам,Вікторович,Чоловіча,1954-08-27,Модельєр,місто Сімферополь,"площа Сурикова 2-й, буд. 45 кв. 1, Дружківка, 72841",281-93-00,niaremkiv@example.org
Запорожець,Єлисей,Іванович,Чоловіча,1979-02-05,Стропальник,селище Великі Мости,"проспект Аеропортівський 1-й, буд. 7, Герца, 66842",965-20-27,avashchenko-zakharchenko@example.com
Ковалюк,Борислав,Іванович,Чоловіча,1953-05-07,Круп'є,місто Прип'ять ,"набережна Чорноморський 4-й, буд. 969, Новий Буг, 39262",384 92 54,vnestaiko@example.com
Міщенко,Єлисавета,Петрівна,Жіноча,1986-01-14,Швачка,місто Новояворівськ,"сквер Садова 6-та, буд. 2, Червоноград, 54597",+380 83 315-99-15,klyment69@example.net
Карпенко,Леонтій,Григорович,Чоловіча,1939-12-02,Журналіст,хутір Татарбунари,"шосе Академіка Богатського, буд. 116, Черкаси, 94568",+380 66 242-98-36,olena48@example.com
Даньків,Олекса,Миколайович,Чоловіча,1971-06-11,Паблік рилейшнз,селище Молочанськ,"узвіз Миколаївський 1-й, буд. 178, Кадіївка, 57266",796-07-88,iustynaholoborodko@example.com
Дубенко,Розалія,Віталіївна,Жіноча,2002-02-15,Дантист,село Алмазна,"вулиця Шефська, буд. 689, Нововолинськ, 02911",040 657 59 25,larysa36@example.com
Назаренко,Софія,Юріївна,Жіноча,1939-09-07,Каскадер,хутір Ізюм,"узвіз Дністровська, буд. 47 кв. 175, Боярка, 25909",+380 (53) 893-69-14,petro37@example.net
Зінкевич,Олекса,Віталійович,Чоловіча,2001-03-15,Футболіст,село Чуднів,"шосе Молодіжна, буд. 782 кв. 6, Новоукраїнка, 09716",685 29 45,stanislavkabanenko@example.net
Супруненко,Олег,Віталійович,Чоловіча,1945-05-19,Випробувач,місто Броди,"набережна Яблучна, буд. 1, Слов'янськ, 16595",657-30-27,gpiatachenko@example.com
Фесенко,Олекса,Григорович,Чоловіча,1962-05-27,Електрослюсар,селище Рава-Руська,"площа Зелена, буд. 53, Петрово-Красносілля, 97426",018 57 28,szabashta@example.com
Пилипенко,Еріка,Григорівна,Жіноча,1986-11-13,Швачка,місто Бобровиця,"сквер Отамана Чепіги, буд. 83, Тетіїв, 56711",259-11-19,nosachenkoviktor@example.net
Ґереґа,Ганна,Миколаївна,Жіноча,2001-05-22,Зоолог,хутір Хоростків,"шосе Парусна, буд. 229 кв. 405, Арциз, 62232",047 869 65 33,varfolomii40@example.com
Щербак,Емілія,Юріївна,Жіноча,1956-09-17,Намотувальник,селище Тисмениця,"узвіз Гастелло, буд. 281 кв. 48, Дніпрорудне, 37096",851-23-87,maksymandriienko@example.net
Фастенко,Златослава,Андріївна,Жіноча,1978-08-26,Мірошник,селище Глиняни,"провулок Кутова, буд. 869, Ічня, 84367",+380 (69) 536-47-54,bohuslav53@example.net
Василенко,Ліза,Дмитрівна,Жіноча,1954-05-05,Модельєр,хутір Калинівка ,"площа Поштова, буд. 38 кв. 2, Коростишів, 27732",096 505-98-13,makarbabak@example.com
Зубко,Олекса,Леонідович,Чоловіча,1967-10-26,Дизайнер,хутір Шпола,"парк Промисловий, буд. 32, Бурштин , 23501",421-01-56,bohdan16@example.org
Адамчук,Аарон,Леонідович,Чоловіча,1946-10-16,Музикознавець,селище Бахчисарай,"парк Лінія 29-та, буд. 907 кв. 44, Липовець, 67678",006-36-86,ydanyliuk@example.net
Асаула,Максим,Олександрович,Чоловіча,1941-04-30,Астроном,селище Ізюм,"набережна Віцеадмірала Азарова, буд. 5, Львів, 19649",+380 04 159-17-57,osahal@example.org
Андрієнко,Марко,Богданович,Чоловіча,2002-09-30,Льотчик,село Гуляйполе,"проспект Романтиків, буд. 90, Христинівка, 63481",+380 96 106 26 32,rmykhaliuk@example.org
Кириленко,Федір,Миколайович,Чоловіча,1942-07-07,Складальник,місто Інкерман,"парк Балтська дорога, буд. 029, Рава-Руська, 58961",023 073 42 40,teslenkoonysym@example.net
Давимука,Тимофій,Вікторович,Чоловіча,1997-10-10,Локсмайстер,село Шахтарськ,"провулок Марії Демченко, буд. 368, Лебедин, 63309",078 828-59-11,tereza34@example.net
Червоненко,Ірена,Ярославівна,Жіноча,1954-12-13,Складальник,хутір Сіверськ,"шосе Супутників, буд. 873 кв. 868, Первомайський , 44949",311 65 79,iustym41@example.org
